production_companies,budget
 Quanta Centro de Produções Cinematográficas,4000000.0
 Quaras,0.0
 RAI,4218750.0
 RAI Cinema,3318204.75
 RBF Productions,5500000.0
 RKO Radio Pictures,839727.0
 RPW Productions,110000000.0
 RT Features,2490000.0
 RTBF,5166666.666666667
 RTS,11000000.0
 RTÉ,12000000.0
 RadicalMedia,30000000.0
 Radio-Télévision Française,0.0
 Rafran Cinematografica,17500000.0
 Rai Fiction,0.0
 Rainmaker Films,5000000.0
 Rakuonsha,0.0
 Rampart Productions,0.0
 Rat Pack Filmproduktion,5000000.0
 RatPac Entertainment,150000000.0
 Razor Film Produktion,4750000.0
 Realies Pictures,18300000.0
 Red Chillies Entertainment,12000000.0
 Red Sky Studios,3000000.0
 Red Wagon Entertainment,94000000.0
 RedPeter Films,8500000.0
 Redrum,0.0
 Regency Enterprises,49333333.333333336
 Reggane Films,0.0
 Relativity Media,32333333.333333332
 Reliance Entertainment,35125000.0
 Renn Productions,4136148.0
 Rex Entertainment,3000000.0
 Rhea Films,0.0
 Riama Film,0.0
 Right of Way Films,1650000.0
 Rink Rat Productions,0.0
 RioFilme,1000000.0
 Riofilm,2900000.0
 Rita Productions,8000000.0
 River Road Entertainment,17000000.0
 Rizzoli Film,0.0
 Robert Evans Productions,6000000.0
 Rocklin / Faust,20000000.0
 Ronald Shusett Productions,11000000.0
 Roxlom Films,3000000.0
 Ruby Films,0.0
 Rufus,0.0
 Run It Up Productions Inc.,30000000.0
 Runteam,35000000.0
 Ryan Murphy Television,0.0
 Rysher Entertainment,30000000.0
 R² Films,5000000.0
 SAFDI,0.0
 SAMG Entertainment,0.0
 SBS,8240000.0
 SBS Productions,1430000.0
 SCOPE Pictures,0.0
 SEGA,61000000.0
 SEGA of America,122000000.0
 SF Studios,50000000.0
 SFP,0.0
 SK Planet,25500000.0
 SKA Films,1350000.0
 SND,86000000.0
 SRG SSR,8000000.0
 STUDIO4℃,1750000.0
 STUDIO706,0.0
 STXfilms,22000000.0
 SUNRISE,0.0
 SVT,5766666.666666667
 SVT Drama,12500000.0
 SWR,0.0
 Salman Khan Films,13000000.0
 Salon Films,1000000.0
 Sammy,0.0
 Samuel Goldwyn Films,1500000.0
 San Marco,2500000.0
 Sancro Film,0.0
 Sapporo Television Broadcasting Company,0.0
 Saticoy Productions,2500000.0
 Savoy Pictures,20000000.0
 Sciarlò,9000000.0
 Scion Films,28000000.0
 Scott Free Productions,105500000.0
 Scott Rudin Productions,49256732.666666664
 Screen Australia,6746666.666666667
 Screen Door,0.0
 Screen Gems,100000000.0
 Screen Scotland,0.0
 Seamus,17500000.0
 Searchlight Pictures,0.0
 Sedic,0.0
 See-Saw Films,13500000.0
 Seoul Broadcasting System,1500000.0
 SevenPictures Film,0.0
 ShadowMachine,35000000.0
 Shanghai Film Group,11700000.0
 Sherwood Pictures,500000.0
 Shifting Gears Productions,18000000.0
 Shinshokan,0.0
 Shivhans Pictures,5000000.0
 Shizuoka Daiichi Television,0.0
 Shochiku,0.0
 Shochiku Ofuna Film Studio,0.0
 Shogakukan,0.0
 Shooting Script Films,8000000.0
 Shortcom,0.0
 Showbox,6773335.0
 Shudder Films,0.0
 Shueisha,2870000.0
 Sidus,3500000.0
 Sidus Animation,20000000.0
 Sigma Films,10000000.0
 Sikelia Productions,90000000.0
 Silent House Productions,15000000.0
 Silver Films,0.0
 Silver Pictures,48333333.333333336
 Silver Screen Partners IV,16400000.0
 Simar Films,0.0
 Simplex Films,0.0
 Sina Studios,110000000.0
 Siz Entertainment,6000000.0
 Skellington Productions,18000000.0
 Skydance Animation,0.0
 Skydance Animation East,0.0
 Sladek Taaffe Productions,0.0
 Slot Machine,10000000.0
 Small Shack Productions,0.0
 Snow Republic,0.0
 Société Générale de Cinématographie (S.G.C.),0.0
 Société Nationale Pathé Cinéma,200000.0
 Société Nouvelle Pathé Cinéma,0.0
 Sofica EuropaCorp,7300000.0
 Soficinéma,7300000.0
 Sofitedip,0.0
 Softcapital,0.0
 Sogecine,17000000.0
 Solar Productions,12000000.0
 Solaris Film,25000000.0
 Solo Productions,0.0
 Something Else B.V.,10000000.0
 Sons of Manual,4900000.0
 Sony Music Entertainment (Japan),4000000.0
 Sony Pictures,100000000.0
 Sony Pictures Animation,88333333.33333333
 Sony Pictures Classics,7300000.0
 Sony Pictures Entertainment Brazil,0.0
 Sony Pictures International Productions,3400000.0
 Sony Pictures Television,0.0
 Spark Productions,0.0
 Specta Films,0.0
 Spillefilmselskapet 4 1/2,10000000.0
 Splendid Pictures,52000000.0
 Spyglass Entertainment,60000000.0
 Square One C.I.H.,15000000.0
 Stadenn Productions,23000000.0
 Stage 6 Films,10666666.666666666
 Stampede Ventures,13000000.0
 Stanley Kramer Productions,3000000.0
 Stanley Kubrick Productions,16100000.0
 Star Child Recording,0.0
 Star China Media,12000000.0
 Star Partners II,25000000.0
 Starbucks Entertainment,18000000.0
 Story,0.0
 Storyscape Entertainment,0.0
 Storyteller Productions,55000000.0
 Straight Edge,0.0
 Strike Entertainment,76000000.0
 Strong Heart,19000000.0
 Studio Babelsberg,55000000.0
 Studio Chizu,0.0
 Studio Deen,0.0
 Studio Filmowe Tor,0.0
 Studio O,0.0
 Studio VOLN,0.0
 StudioCanal,9620000.0
 Sumitomo Corporation,5350000.0
 Summit Entertainment,9000000.0
 Sumzap,0.0
 Sunbeam TV & Films,6000000.0
 Sunstar Entertainment,12000000.0
 Sunswept Entertainment,20000000.0
 Super Cool ManChu,30000000.0
 Superprod Animation,0.0
 Svenska Filminstitutet,2133333.3333333335
 Syalis DA,50000000.0
 Synchronicity Films,4000000.0
 Syncopy,140000000.0
 Sédif Productions,0.0
 T-Street,40000000.0
 T2 Studio,49300000.0
 TBS,0.0
 TBS Radio,0.0
 TC Productions,0.0
 TF1,0.0
 TF1 Films Production,4357142.857142857
 TF1 Studio,0.0
 TFC,19000000.0
 TIK Films,20000000.0
 TLA Releasing,0.0
 TMC,0.0
 TNDG,23500000.0
 TOHO,11272222.222222222
 TOY'S FACTORY,0.0
 TPS Cinéma,12500000.0
 TRT,4750000.0
 TSG Entertainment,89509090.9090909
 TSG Entertainment II,50000000.0
 TT Filmmûhely,1000000.0
 TV 1000 Sverige,10000000.0
 TV Man Union,0.0
 TV Tokyo,0.0
 TV3,4000000.0
 TVE,2000000.0
 Tango Entertainment,0.0
 Tanlay,25000000.0
 Tapioca Films,10000000.0
 Tarantula,13272819.0
 Taurus Film,63000000.0
 Taylor Swift Productions,0.0
 Team Todd,9000000.0
 Technical Black Films,30000000.0
 Telecinco,19000000.0
 Telecine,1357500.0
 Telefe,2000000.0
 Televisa,5250000.0
 Televizija Sarajevo,0.0
 Temple Hill Entertainment,34000000.0
 Ten Films,6500000.0
 Tencent Pictures,0.0
 Tequila Gang,19000000.0
 Tevere Film,0.0
 The Asahi Shimbun,0.0
 The Big Farm,0.0
 The Bridge Production,4000000.0
 The Coppola Company,13000000.0
 The Donners' Company,77500000.0
 The Guber-Peters Company,20000000.0
 The Hatchery,0.0
 The Kennedy/Marshall Company,23650000.0
 The Ladd Company,29000000.0
 The Lift,10000000.0
 The Match Factory,0.0
 The Mazur Kaplan Company,0.0
 The Mirisch Company,5500000.0
 The Noel Gay Motion Picture Company,4000000.0
 The Producer Circle Co.,19000000.0
 The Rank Organisation,0.0
 The SPA Studios,0.0
 The Saul Zaentz Company,88666666.66666667
 The SpringHill Company,21000000.0
 The Steve Tisch Company,55000000.0
 The Stone Quarry,70000000.0
 The Turman-Foster Company,15000000.0
 The Turman-Morrissey Company,20000000.0
 The Walt Disney Company (Japan),21750000.0
 The Walt Disney Company EMEA,0.0
 The Weinstein Company,37000000.0
 The Zanuck Company,70000000.0
 The Zanuck/Brown Company,5500000.0
 This is that,20000000.0
 Thomas Carter Company,0.0
 Thousand Words,4500000.0
 Tianijn Xiron Entertainment,0.0
 Tianjin Maoyan Weying Media,11936735.0
 Tim Burton Productions,45000000.0
 Time Antaeus Media Group,11700000.0
 Tin Blue,12000000.0
 Titanus,0.0
 Toberoff Productions,0.0
 Tobis,6000000.0
 Toei Animation,1000000.0
 Toei Company,0.0
 Toff Guy Films,38500000.0
 Tohan,0.0
 Toho Laboratory,60000.0
 Tokuma Shoten,10033333.333333334
 Tokyo FM,0.0
 Tokyo MX,0.0
 Tokyo Movie Shinsha,5700000.0
 Tomson (Hong Kong) Films Co.,4000000.0
 Tooniverse,1500000.0
 Topkapi Films,2575000.0
 Toranoana,0.0
 Tordenfilm,4750000.0
 Tornasol Media,2000000.0
 Toto & Co Films,47000000.0
 Touchstone Pictures,19966666.666666668
 Trademark Films,5750000.0
 Tre Forum,5000000.0
 Tree Top Films,30000000.0
 TriStar Pictures,3000000.0
 Tribeca Productions,22000000.0
 Triumph Films,200000.0
 Trollhättan Film,10000000.0
 Trust Film Svenska,12500000.0
 Trésor Films,0.0
 Turnpike Films,97600000.0
 Twentieth Century-Fox Productions,11000000.0
 Twisted Media,17000000.0
 Télé-Québec,0.0
 UGC,10000000.0
 UGC Films,0.0
 UK Film Council,15000000.0
 UTV Motion Pictures,8666666.666666666
 Uhlandfilm,1300000.0
 Ultra Film - Sicila Cinematografica,0.0
 UniCredit Group,13500000.0
 Unified Theory,0.0
 Unigram,0.0
 Union Investment Partners,9850000.0
 United Artists,2336666.6666666665
 United Pictures,1255000.0
 Universal International Pictures,0.0
 Universal Pictures,22400000.0
 Universal Pictures International,2000000.0
 VAP,0.0
 VIZ Media,178000000.0
 VTM,0.0
 Value & Power Culture Communications,12000000.0
 Vanguard Films,2000000.0
 Vega Film,3150000.0
 Vendian Entertainment,40000000.0
 Vendôme Production,0.0
 Versus Production,0.0
 Vertigo Entertainment,51500000.0
 ViX,10000000.0
 VicScreen,110000000.0
 VideoFilmes,3100000.0
 Videocine,4087500.0
 Vides Cinematografica,0.0
 Village Roadshow Pictures,103166666.66666667
 Vinod Chopra Films,11000000.0
 Vision Distribution,4500000.0
 Visiona Romantica,70000000.0
 Vistamar Filmproduktion,1300000.0
 Voltage Pictures,5000000.0
 Von Vietinghoff Filmproduktion,0.0
 Véra Films,0.0
 WDR,6941666.666666667
 WDR/Arte,10000000.0
 WFI Productions Ltd.,25000000.0
 WFS - Walter Film Studio,1300000.0
 WV Films IV,33000000.0
 Walden Media,15125000.0
 Wallace and Gromit,832000.0
 Walt Disney Animation Studios,0.0
 Walt Disney Feature Animation,35000000.0
 Walt Disney Japan,24000000.0
 Walt Disney Pictures,60000000.0
 Walt Disney Productions,3000000.0
 Wanka Cine,20000000.0
 Ward Four,0.0
 Warner Bros. Animation,2625000.0
 Warner Bros. China,11936735.0
 Warner Bros. Family Entertainment,0.0
 Warner Bros. Japan,0.0
 Warner Bros. Korea,5500000.0
 Warner Bros. Pictures,62802380.952380955
 Warner Bros. Productions,54000000.0
 Warner Max,0.0
 Warner Premiere,1750000.0
 Water's End Productions,3500000.0
 Wayfarer Studios,0.0
 We Pictures,0.0
 Wega Film,8900000.0
 Welle Entertainment,50000000.0
 Wenders Images,14000000.0
 Wendy Finerman Productions,55000000.0
 Werc Werk Works,1000000.0
 Westbrook,50000000.0
 Weydemann Bros.,0.0
 What Else?,12500000.0
 Why Not Productions,0.0
 Wiedemann & Berg Film,1000000.0
 Wild Bunch,9037500.0
 Wildlife Films Peru,7362000.0
 Wildside,0.0
 Will Packer Productions,28000000.0
 Wim Wenders Stiftung,1250000.0
 WingNut Films,88666666.66666667
 Witt/Thomas Productions,16400000.0
 Wojewódzki Dom Kultury w Rzeszowie,1300000.0
 Wolper Organization,35000000.0
 Working Title Films,20714285.714285713
 World 2000 Entertainment,35000000.0
 Wrigley Pictures,2800000.0
 X Filme Creative Pool,8900000.0
 Xenon Pictures,28000000.0
 Xiongfa Film Company,0.0
 YLE,10000000.0
 Yash Raj Films,0.0
 Year of the Rat,25000000.0
 Yomiuri Shimbun Company,0.0
 Yomiuri Telecasting Corporation,2400000.0
 Yong Film,8575000.0
 You Want I Should,6000000.0
 ZDF,3108193.25
 Zag Animation Studios,86000000.0
 Zahorí Media,0.0
 Zazen Produções,2000000.0
 Zehnte Babelsberg Film,70000000.0
 Zentropa Entertainments,6150000.0
 Zentropa International Netherlands,5150000.0
 Zentropa International Sweden,6825000.0
 Zero Fiction Film,1000000.0
" Zespół Filmowy ""Tor""",0.0
 Zeta Film,2000000.0
 Zeta Studios,0.0
 Zhejiang Hengdian Film Production,11936735.0
 Zoma Films,10000000.0
 avex pictures,0.0
 c-style,0.0
 d-rights,27000000.0
 dentsu,11821428.57142857
 di Bonaventura Pictures,75000000.0
 iAm21 Entertainment,0.0
 iHQ,0.0
 jeki,0.0
 kth,18300000.0
 micro_scope,6800000.0
 movic,1500000.0
 paiva films,0.0
 uFund,23000000.0
 uMedia,15333333.333333334
 voque ting,0.0
 Íslenska kvikmyndasamsteypan,12500000.0
1492 Pictures,25000000.0
20th Century Fox,42125909.09090909
20th Century Studios,138333333.33333334
3Pas Studios,10000000.0
6th & Idaho Motion Picture Company,185000000.0
87North Productions,16000000.0
A Steven Haft Production,16400000.0
A-1 Pictures,0.0
A.Gi.Di.,0.0
A24,7500000.0
ABC Animation,0.0
APJAC Productions,5800000.0
AVCO Embassy Pictures,3000000.0
Aamir Khan Productions,6500000.0
Aardman,832000.0
Access Pictures,200000.0
Acemaker Movieworks,6500000.0
Adicta Films,0.0
Affirm Films,5000000.0
Agencia SHA,0.0
Aircraft Pictures,0.0
Alazraki Entertainment,2000000.0
Alcon Entertainment,37500000.0
Alfred J. Hitchcock Productions,1000000.0
Allfilm,0.0
Allied Artists Pictures,12000000.0
Alloy Entertainment,0.0
Altavista Films,6000000.0
Amato Film,0.0
Amazon Studios,0.0
Amblin Entertainment,15500000.0
American Playhouse,0.0
American Zoetrope,31500000.0
Amusement Park Films,20000000.0
Ananã Produções,0.0
Annapurna Pictures,11500000.0
Arcadia Motion Pictures,5300000.0
Archimede,13272819.0
Arco Film,0.0
Arenamedia,4350000.0
Argos films,0.0
Artisan Entertainment,4500000.0
Artists Entertainment Complex,1800000.0
Asghar Farhadi Productions,5000000.0
Atresmedia,0.0
Attic Bedroom,0.0
Aurum Film,1300000.0
Avon Productions,3000000.0
BA Entertainment,0.0
BBC,0.0
BBC Cymru Wales,0.0
BBC Film,12500000.0
BFI,0.0
BKM,0.0
BONES,4000000.0
Bad Angels Productions,15000000.0
Bad Hat Harry Productions,6000000.0
Bandai Visual,1500000.0
Barunson E&A,8181500.0
Beijing Enlight Pictures,22000000.0
Beijing Film Studio,4000000.0
Belarusfilm,0.0
Beyond C.,0.0
BiBi Film,0.0
Bidangil Pictures,2600000.0
Big Beach,8000000.0
Bitter Films,0.0
Block 2 Pictures,3000000.0
Blueprint Pictures,15000000.0
Boies/Schiller Film Group,2800000.0
Bold Films,3300000.0
Boo Pictures,4000000.0
Boulder Media,0.0
Bowfinger,3400000.0
Brain's Base,0.0
Brandywine Productions,11000000.0
Breakthru Films,5500000.0
Bristol Automotive,14000000.0
Broken Chair Flickz,28000000.0
Broken Road Productions,25000000.0
Brooksfilms,5000000.0
Bryna Productions,935000.0
C. C. Champion,0.0
C.V. Whitney Pictures,3750000.0
CG Cinéma,1300000.0
CJ Entertainment,10833333.333333334
Calamity Films,0.0
Camisa Listrada,0.0
Canal+ España,2000000.0
Carolco Pictures,102000000.0
Cartoon Network Studios,1000000.0
Cartoon Saloon,6000000.0
Castle Rock Entertainment,26875000.0
Cecchi Gori Group Tiger Cinematografica,0.0
Celador Films,15000000.0
Celebrated Productions,900000.0
Cenoura Filmes,2000000.0
Chapter 2,46000000.0
Charles Chaplin Productions,2453285.714285714
Charles K. Feldman Group,1800000.0
Chenault Productions,7500000.0
Chengdu Coco Cartoon,80000000.0
Chernin Entertainment,84000000.0
Chi-Fou-Mi Productions,0.0
China Film Group Corporation,0.0
CiBy 2000,7000000.0
Cinecittà Studios,0.0
Cineflix Productions,0.0
Cineguild,1200000.0
Cinema Service,0.0
Cinematograph AB,2183333.3333333335
Cinemaundici,0.0
Cinereach,6000000.0
Cineriz,0.0
Cino del Duca,0.0
Climax Studios,0.0
CloverWorks,0.0
CoMix Wave Films,0.0
Columbia Pictures,27922333.333333332
Compagnie Industrielle et Commerciale Cinématographique,0.0
Constantin Film,0.0
Creado Film,2000000.0
Creando Films,0.0
Crossbow Productions,2800000.0
Cruise/Wagner Productions,17000000.0
D.D.L.,0.0
DC,0.0
DC Entertainment,3500000.0
DDL Cinematografica,0.0
DEG,6000000.0
DR,1300000.0
DVV Entertainment,69000000.0
Daiei Film,1062500.0
Deantir,0.0
Deblokada,4750000.0
Decla Film Gesellschaft Holz & Co.,18000.0
Defender Films,2500000.0
Den of Thieves,0.0
Desperate Pictures,3000000.0
Dharma Productions,6000000.0
Different Films,0.0
Dijital Sanatlar,4200000.0
Double Dare You,120000000.0
Double Feature Films,21000000.0
Draco Films,0.0
DreamWorks Animation,95700000.0
DreamWorks Pictures,55000000.0
ERA International,1000000.0
Ealing Studios,0.0
Echo Lake Entertainment,0.0
Edward Small Productions,3000000.0
Eisei Gekijo,0.0
El Arriero Films,65500000.0
El Deseo,6136148.0
Electric City Entertainment,5000000.0
Elías Querejeta PC,0.0
Embassy International Pictures,21333333.333333332
Engine Film,0.0
Epoca Films,5000000.0
Escape Artists,55000000.0
Esparza / Katz Productions,20000000.0
Esparza Caldera,0.0
Esterno Mediterraneo Film,3000000.0
Estudios Picasso,19000000.0
Euro International Films,0.0
EuropaCorp,0.0
Excelsa Film,20000.0
Faces International Films,1000000.0
Fair Film,0.0
FaithStep Films,3000000.0
Falling Sky Entertainment,200000.0
Fantasy Films,3000000.0
Faragó Film,0.0
Feijão Filmes,0.0
Figment Films,4000000.0
FilmNation Entertainment,47000000.0
Filmauro,0.0
Films Montsouris,0.0
Filmsonor,0.0
Filmverlag der Autoren,0.0
Flat 7,0.0
Flower Films,4500000.0
Focus Features,17000000.0
Folivari,3000000.0
Fox 2000 Pictures,34000000.0
Fox Film Corporation,0.0
Fox Searchlight Pictures,19000000.0
France 2 Cinéma,2791874.0
Franklin Entertainment,0.0
Fuji Television Network,0.0
GAINAX,0.0
GDH 559,1000000.0
GENCO,0.0
GP Pictures,500000.0
Galatea Film,0.0
Galatée Films,5300000.0
Gaumont,8062500.0
Gaylord Films,11800000.0
Genre Films,108000000.0
Goalpost Pictures,0.0
Goldcrest,12000000.0
Good Machine,0.0
Googly Films,30000000.0
Gordon Company,28000000.0
Government of West Bengal,0.0
Goëss Film,0.0
Grade A Entertainment,7000000.0
Gullane Entretenimento,0.0
Gébéka Films,8000000.0
HBO,0.0
HBO Films,0.0
Hal Roach Studios,121000.0
Handmade Films,4000000.0
Hanna-Barbera Cartoons,0.0
Hawk Films,1800000.0
Hell's Kitchen,13000000.0
Hemdale,6400000.0
Hemdale Film Corporation,6000000.0
Heyday Films,18000000.0
Hollywood Pictures,35000000.0
Hong Film,5900000.0
Horizon Pictures,8900000.0
Huevocartoon Producciones,2400000.0
Hutch Parker Entertainment,97000000.0
IAC Films,25000000.0
IBC MOvie,0.0
Igor Film,800000.0
Illumination,85000000.0
Image Ten,114000.0
Imagine Entertainment,27500000.0
Indian Paintbrush,16000000.0
Indusfilms,200000.0
Instituto Mexicano de Cinematografía,0.0
Iris Productions,8000000.0
It's a Laugh Productions,0.0
Italian International Film,0.0
Italo/Judeo Productions,1900000.0
J.C.STAFF,0.0
Jack Rollins & Charles H. Joffe Productions,4000000.0
Jerry Bruckheimer Films,30000000.0
Jet Tone Production,80000.0
Johnson & Johnson Spotlight Presentations,0.0
Jolly Film,100000.0
Jor Kwang Films,1839169.0
Joseph M. Schenck Productions,375000.0
Julianne Films,9850000.0
Jung Ji-woo Film,0.0
Kang Je-gyu Films,1500000.0
Kanoon,45000.0
Kasso Productions,2600000.0
Kemp Company,52000000.0
Khalabo Ink Society,0.0
Kim Ki Duk Film,0.0
Kindai Eiga Kyokai,0.0
Kineo Filmproduktion,0.0
Kingdom Story Company,13000000.0
Komixx Entertainment,0.0
Kyoto Animation,0.0
LAIKA,60000000.0
LD Entertainment,5750000.0
LJ Film,0.0
La Cinéfacture,3500000.0
La Unión de los Ríos,20000000.0
Lacuna Filmes,0.0
Lakeshore Entertainment,30000000.0
Landscape Entertainment,0.0
Lanistar Media,0.0
Lawrence Bender Productions,10000000.0
Legendary Pictures,170000000.0
Lerche,0.0
Lereby Produções,0.0
Les Armateurs,12500000.0
Les Films Alain Sarde,10000000.0
Les Films Corona,0.0
Les Films Paul Grimault,0.0
Les Films de Pierre,6600000.0
Les Films de la Pléiade,0.0
Les Films du Carrosse,350000.0
Les Films du Cru,6000000.0
Les Films du Losange,8900000.0
Les Productions Artistes Associés,9000000.0
Les Productions du Trésor,0.0
Liberty Films,3180000.0
Light Chaser Animation Studios,5968367.5
Likely Story,4000000.0
Lilies Films,5740000.0
Lionsgate,28333333.333333332
Live Entertainment,1200000.0
Ljubavny Film,0.0
Locksmith Animation,0.0
London Films Productions,0.0
Lord Miller,75000000.0
Lotte Entertainment,12200000.0
Lucasfilm Ltd.,16587500.0
Lux Film,0.0
Lyla Films,9500000.0
M-Line Distribution,0.0
MACA Entretenimento,0.0
MACT Productions,2900000.0
MAPPA,0.0
MBS,5700000.0
MGM Television,1750000.0
MK2 Films,0.0
MS Productions Magdalena Szwedkowicz,0.0
MTJJ,0.0
Mad Chance,0.0
Madhouse,33666666.666666664
Malpaso Productions,24000000.0
Mandarin Films,11700000.0
Marianne Productions,750000.0
Mario e Vittorio Cecchi Gori - C.E.I.A.D.,20000000.0
Mars Films,0.0
Marv,0.0
Marvel Studios,222888888.8888889
Marvelous Productions,0.0
Master Mind,14000000.0
Matten Productions,33000000.0
Media Asia Films,6400000.0
Medusa Film,3000000.0
Melodrama Pictures,8240000.0
Menuet,0.0
Mercury Productions,839727.0
Metafilms,4900000.0
Metro Pictures Corporation,0.0
Metro-Goldwyn-Mayer,3735915.285714286
Migdal Filmes,2000000.0
Miramax,19600000.0
Miso Film,0.0
Mission Pictures International,30000000.0
Moho Film,8575000.0
Monkeypaw Productions,4500000.0
Mosfilm,157500.0
Motion Picture Public Foundation of Hungary,1000000.0
Mr. Brown Entertainment,3500000.0
Mr. Mudd,13000000.0
Musrti,0.0
NDR,16000000.0
NTR,0.0
Natant,30000000.0
Natasha Filmes,0.0
Nepi Film,0.0
Nero-Film AG,0.0
Netflix,0.0
Netter Productions,25000000.0
New Century Producers,1500000.0
New Line Cinema,46666666.666666664
New Regency Pictures,20000000.0
New Zealand Film Commission,25000000.0
Newmarket Films,9000000.0
Next Entertainment World,5666666.666666667
Ninjin Club,0.0
Nippon Herald Films,12000000.0
Nippon Television Network Corporation,0.0
NoneMore Productions,0.0
Nord-Ouest Films,0.0
Nordisk Film Denmark,5070773.0
Nortesur Producciones,1400000.0
O2 Filmes,3300000.0
OGM Pictures,0.0
Oh! Production,0.0
Omega Project,0.0
Once Upon a Time Films,0.0
Optimum Productions,500000.0
Opus Pictures,1255000.0
Original Film,18000000.0
Orion Pictures,17000000.0
Orion-Nova Productions,397751.0
Overbrook Entertainment,0.0
P.A.WORKS,0.0
PACO Cinematografica,13500000.0
PASTEL,0.0
PEA,600000.0
PPW Films,849080.0
"PRF ""Zespoły Filmowe""",0.0
Pacific Data Images,60000000.0
Pakula-Mulligan,2000000.0
Palladium,0.0
Palomar Pictures International,3500000.0
Pan-Européenne,47000000.0
Panpokopina,52406.0
Pantelion Films,5250000.0
Paper Street Films,0.0
Paramount Animation,75000000.0
Paramount Pictures,28523633.76
Paramount Vantage,25000000.0
Parc Film,0.0
Parkes/Lasker productions,31000000.0
Participant,14500000.0
PassionFlix,0.0
Patagonik,1300000.0
Pathé Consortium Cinéma,64000.0
Paul Gregory Productions,795000.0
Peg-Films,0.0
Penta Film,0.0
Peppermint & Company,5500000.0
Pergamon Film,0.0
Pierrot,0.0
Pixar,108500000.0
Plan B Entertainment,250000000.0
PlayStation Productions,60000000.0
Playfilm Productions,500000.0
Playtone,50000000.0
Pokeepsie Films,0.0
PolyGram Filmed Entertainment,11000000.0
Ponti-De Laurentiis Cinematografica,0.0
Pony Canyon,0.0
Prana-Film,0.0
Price Entertainment,22000000.0
Producciones Gustavo Alatriste,0.0
Productions et Éditions Cinématographiques Françaises,0.0
Produzione Salvo D'Angelo,0.0
Produzioni De Sica,133000.0
Pyramide Productions,0.0
Python (Monty) Pictures,400000.0
R.P. Productions,35000000.0
RAI,5000000.0
RKO Radio Pictures,1000000.0
RPA Cinematografica,0.0
RT Features,0.0
Radiant Film,14000000.0
Rafran Cinematografica,0.0
Rajkumar Hirani Films,13000000.0
RatPac Entertainment,178000000.0
Red Granite Pictures,100000000.0
Regency Enterprises,37500000.0
Reiner / Greisman Productions,14000000.0
Revolution Films,38000000.0
Ringling College of Art + Design,0.0
River Road Entertainment,15000000.0
Rizzoli Film,0.0
Road Movies,2125000.0
Rob Diamond Films,0.0
Robert Wise Productions,8200000.0
RocketScience,110000000.0
Rockline Entertainments,13000000.0
Rodeo Drive,0.0
Romaine Film Corporation,1200000.0
Rome-Paris Films,0.0
Romulus Entertainment,0.0
Rossen Films,2000000.0
Roth-Kirschenbaum Films,21000000.0
Réalisation d'Art Cinématographique,0.0
SF Studios,21428.571428571428
SKA Films,100000000.0
SLM Production Group,18500000.0
STXfilms,55000000.0
Samuel Goldwyn Films,500000.0
Samuel Goldwyn Productions,2100000.0
Sangeori Pictures,2200000.0
Santa Fe Films,14500000.0
Santo Domingo Films,0.0
Scion Films,16000000.0
Searchlight Pictures,35000000.0
Seda Spettacoli,0.0
See-Saw Films,0.0
Select Films,0.0
Selznick International Pictures,2644000.0
Shamley Productions,806947.0
Shanghai Film Studio,0.0
Shaw Brothers,28000000.0
Shochiku,833333.3333333334
Shooting Pictures,0.0
Show East,3000000.0
Shueisha,0.0
Sidney Kimmel Entertainment,0.0
Sidus,20000000.0
Sierra/Affinity,8500000.0
Silver Films,0.0
Silver Screen Partners IV,25000000.0
Sixteen Films,0.0
Skydance Animation,0.0
Skydance Media,120000000.0
Société Générale de Cinématographie (S.G.C.),0.0
Société Nouvelle Pathé Cinéma,0.0
Société des Producteurs de L'Angoa,7300000.0
Société générale des films,0.0
Softbank Ventures,6000000.0
Sony Pictures Animation,50000000.0
Sovinfilm,875000.0
Spyglass Entertainment,40000000.0
Stanley Donen Films,4000000.0
Stanley Kramer Productions,1365000.0
Stanley Kubrick Productions,12000000.0
Star Film,5985.0
Star Thrower Entertainment,50000000.0
Studio Babelsberg,62770198.0
Studio Chizu,0.0
Studio Colorido,0.0
Studio Deen,0.0
Studio Durian,0.0
Studio Ghibli,16378571.42857143
StudioCanal,14333333.333333334
Suede Film,0.0
Summit Entertainment,35000000.0
Super Cool ManChu,42500000.0
Syncopy,175000000.0
Símio Filmes,1430000.0
TBS,0.0
TF1 Films Production,21400000.0
TOHO,755454.5454545454
TPS Company,0.0
TS Productions,6800000.0
Tango Film,130000.0
Tantrum Films,0.0
Taodue Film,0.0
Taylor Swift Productions,15000000.0
Temple Hill Entertainment,20000000.0
Teshigahara Productions,0.0
The Archers,475000.0
The Associates & Aldrich Company,980000.0
The Awakening Production,86000000.0
The Directors Company,2500000.0
The Jim Henson Company,35000000.0
The LAMP,12820005.0
The Ladd Company,72000000.0
The Mirisch Company,3370962.0
The Princess Bride Ltd.,16000000.0
The Saul Zaentz Company,18000000.0
The Steve Tisch Company,1350000.0
The Weinstein Company,42750000.0
The Zanuck/Brown Company,7000000.0
Think Studio,4000000.0
Thunder Road,100000000.0
Tig Productions,22000000.0
Titanus,0.0
Titti Film,0.0
Toei Animation,1333333.3333333333
Toei Company,1000000.0
Tokuma Shoten,0.0
Topcraft,1000000.0
Topkapi Films,0.0
Touchstone Pictures,26500000.0
